1 ---- 1.00261920779001e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]2 ---- 4.521833317008535e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
2 ---- 4.713409109251614e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
3 ---- 2.0544534441624823e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
4 ---- 1.2197541479068411e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
5 ---- 1.350210438645076e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
6 ---- 1.7913838247255202e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [1.3, 1.6]]
7 ---- 7.902291738360003e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [1.3, 1.6]]
8 ---- 1.873752825889564e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
9 ---- 1.6801008613920206e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
10 ---- 1.5057951643601481e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
11 ---- 1.073814828276493e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
12 ---- 1.2951697808439056e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
13 ---- 4.466527303573578e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [1.3, 1.6]]
14 ---- 1.1314381696560118e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [1.3, 1.6]]
15 ---- 7.083748557282705e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
