1 ---- 189.06822898831382 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [-7.142857142857146, -1.0204081632653095]]2 ---- 24.588042071777934 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [-1.0204081632653095, 5.102040816326527]]
2 ---- 99.44321416172393 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [5.102040816326527, 11.224489795918362]]
3 ---- 298.0664455417719 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [11.224489795918362, 17.3469387755102]]
4 ---- 773.248932042693 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [17.3469387755102, 23.469387755102037]]
4 ---- 1137.8528021268057 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [23.469387755102037, 29.59183673469387]]
5 ---- 94.15978148549303 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [-7.142857142857146, -1.0204081632653095]]
5 ---- 2145.434685587147 ---- [[0.0, 2.0408163265306123], [-7.142857142857146, -1.0204081632653095], [29.59183673469387, 35.71428571428571]]
5 ---- 65.66343493812815 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [5.102040816326527, 11.224489795918362]]
6 ---- 6.996311865611858 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [-1.0204081632653095, 5.102040816326527]]
7 ---- 182.7400135751049 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [11.224489795918362, 17.3469387755102]]
8 ---- 490.4182078528191 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [17.3469387755102, 23.469387755102037]]
8 ---- 962.76282957228 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [23.469387755102037, 29.59183673469387]]
9 ---- 1543.0449044714196 ---- [[0.0, 2.0408163265306123], [-1.0204081632653095, 5.102040816326527], [29.59183673469387, 35.71428571428571]]
10 ---- 135.9938607116213 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [-7.142857142857146, -1.0204081632653095]]
11 ---- 91.93597924779657 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [-1.0204081632653095, 5.102040816326527]]
12 ---- 226.08413944239123 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [11.224489795918362, 17.3469387755102]]
13 ---- 626.3544701484453 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [17.3469387755102, 23.469387755102037]]
14 ---- 1162.3190400598087 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [23.469387755102037, 29.59183673469387]]
15 ---- 1744.3966977293308 ---- [[0.0, 2.0408163265306123], [5.102040816326527, 11.224489795918362], [29.59183673469387, 35.71428571428571]]
15 ---- 459.7619282805276 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [-7.142857142857146, -1.0204081632653095]]
16 ---- 431.72214394871975 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [-1.0204081632653095, 5.102040816326527]]
17 ---- 390.55702072085904 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [5.102040816326527, 11.224489795918362]]
18 ---- 507.3142510888931 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [11.224489795918362, 17.3469387755102]]
19 ---- 1004.8793783100032 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [17.3469387755102, 23.469387755102037]]
20 ---- 2250.8301406235573 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [29.59183673469387, 35.71428571428571]]
20 ---- 1089.971759536889 ---- [[0.0, 2.0408163265306123], [11.224489795918362, 17.3469387755102], [23.469387755102037, 29.59183673469387]]
21 ---- 1148.307335222198 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [-7.142857142857146, -1.0204081632653095]]
21 ---- 1094.8174290914822 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [-1.0204081632653095, 5.102040816326527]]
22 ---- 1171.542115855217 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [5.102040816326527, 11.224489795918362]]
22 ---- 1172.578321753338 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [11.224489795918362, 17.3469387755102]]
23 ---- 1564.9808351110798 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [17.3469387755102, 23.469387755102037]]
24 ---- 1864.4841143903186 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [23.469387755102037, 29.59183673469387]]
25 ---- 2441.8384346377297 ---- [[0.0, 2.0408163265306123], [17.3469387755102, 23.469387755102037], [29.59183673469387, 35.71428571428571]]
26 ---- 2135.271309656808 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [-7.142857142857146, -1.0204081632653095]]
27 ---- 2046.3282295865909 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [-1.0204081632653095, 5.102040816326527]]
28 ---- 2063.079681690629 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [11.224489795918362, 17.3469387755102]]
28 ---- 2008.2379932858785 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [5.102040816326527, 11.224489795918362]]
28 ---- 2670.554995690157 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [17.3469387755102, 23.469387755102037]]
29 ---- 2875.5300448276103 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [23.469387755102037, 29.59183673469387]]
30 ---- 3323.118385368706 ---- [[0.0, 2.0408163265306123], [23.469387755102037, 29.59183673469387], [29.59183673469387, 35.71428571428571]]
31 ---- 3425.9640795374758 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [-7.142857142857146, -1.0204081632653095]]
32 ---- 3404.737085558366 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [-1.0204081632653095, 5.102040816326527]]
33 ---- 3495.691876554638 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [11.224489795918362, 17.3469387755102]]
33 ---- 3378.380512513713 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [5.102040816326527, 11.224489795918362]]
34 ---- 3961.9938060606 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [17.3469387755102, 23.469387755102037]]
35 ---- 4528.608878713622 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [29.59183673469387, 35.71428571428571]]
35 ---- 3905.1072807360842 ---- [[0.0, 2.0408163265306123], [29.59183673469387, 35.71428571428571], [23.469387755102037, 29.59183673469387]]
36 ---- 181.95083218096917 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [-7.142857142857146, -1.0204081632653095]]
37 ---- 154.49936320970411 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [-1.0204081632653095, 5.102040816326527]]
38 ---- 149.1743225648974 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [5.102040816326527, 11.224489795918362]]
39 ---- 308.90103324680894 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [11.224489795918362, 17.3469387755102]]
40 ---- 571.6242611026856 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [17.3469387755102, 23.469387755102037]]
41 ---- 971.629452927019 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [23.469387755102037, 29.59183673469387]]
41 ---- 1418.1823846144337 ---- [[2.0408163265306123, 4.081632653061225], [-7.142857142857146, -1.0204081632653095], [29.59183673469387, 35.71428571428571]]
42 ---- 103.84289656193891 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [-7.142857142857146, -1.0204081632653095]]
43 ---- 49.002736923793364 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [-1.0204081632653095, 5.102040816326527]]
44 ---- 51.53456752229755 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [5.102040816326527, 11.224489795918362]]
45 ---- 97.87948248402823 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [11.224489795918362, 17.3469387755102]]
46 ---- 459.43081585381105 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [23.469387755102037, 29.59183673469387]]
