1 ---- 9.820832722836269e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [0.0, 0.7142857142857143]]2 ---- 3.46963818798936e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [0.7142857142857143, 1.4285714285714286]]
2 ---- 8.132265675412947e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [1.4285714285714286, 2.142857142857143]]
3 ---- 8.135918363660281e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [2.142857142857143, 2.857142857142857]]
4 ---- 8.225134251890374e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [2.857142857142857, 3.5714285714285716]]
5 ---- 8.613995730789686e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [3.5714285714285716, 4.285714285714286]]
6 ---- 2834567228226698.5 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [4.285714285714286, 5.0]]
7 ---- 3.617361927035994e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [0.0, 0.7142857142857143]]
8 ---- 5.699876962238554e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [0.7142857142857143, 1.4285714285714286]]
9 ---- 2.5523490421030233e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.4285714285714286, 2.142857142857143]]
10 ---- 5.0780298044714217e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [2.142857142857143, 2.857142857142857]]
11 ---- 2.776601261523396e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [2.857142857142857, 3.5714285714285716]]
12 ---- 7.552998987007508e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [3.5714285714285716, 4.285714285714286]]
13 ---- 751439918147099.1 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [4.285714285714286, 5.0]]
14 ---- 1.1680027458152649e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [0.0, 0.7142857142857143]]
15 ---- 4.624544149706675e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
16 ---- 8.645364693084044e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
17 ---- 2.71178063895544e+22 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [2.142857142857143, 2.857142857142857]]
18 ---- 5.9173352564153475e+19 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
19 ---- 1.3480275868098136e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [3.5714285714285716, 4.285714285714286]]
20 ---- 429729619525395.56 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [4.285714285714286, 5.0]]
21 ---- 1.864043202451288e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [0.0, 0.7142857142857143]]
22 ---- 1.6549004433663956e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
23 ---- 2.9112424886603725e+22 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
24 ---- 4.28284819814541e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [2.142857142857143, 2.857142857142857]]
25 ---- 3428862014589855.5 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
26 ---- 28440703659933.67 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [3.5714285714285716, 4.285714285714286]]
27 ---- 14248597715210.402 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [4.285714285714286, 5.0]]
28 ---- 7.197294509664517e+29 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [0.0, 0.7142857142857143]]
29 ---- 3.8400835168600675e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [0.7142857142857143, 1.4285714285714286]]
30 ---- 4.421686594639936e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.4285714285714286, 2.142857142857143]]
31 ---- 2.835557627698536e+21 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [2.142857142857143, 2.857142857142857]]
32 ---- 7.148134412676523e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [2.857142857142857, 3.5714285714285716]]
33 ---- 16837388803422.176 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [3.5714285714285716, 4.285714285714286]]
