1 ---- 436.69186542030144 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]2 ---- 259.5833451169634 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
2 ---- 119.03492132212982 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
2 ---- 111.3885140885101 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
2 ---- 343.0708664276874 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
3 ---- 141.40750066676705 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
3 ---- 236.29812225894432 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
4 ---- 68.02837226699046 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
4 ---- 68.96312342805017 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
5 ---- 583.5712738981118 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
6 ---- 218.61067000079464 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
7 ---- 238.64537448797617 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
8 ---- 86.97025943515965 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
8 ---- 165.23421881962332 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
8 ---- 162.97617431065447 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
8 ---- 323.80242191372815 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
9 ---- 244.33358531274808 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
10 ---- 78.51271540302359 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
9 ---- 750.751360170196 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
